nose_x,nose_y,neck_x,neck_y,Rshoulder_x,Rshoulder_y,Relbow_x,Relbow_y,Rwrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,class
0.49,0.02,0.49,0.2,0.42,0.2,0.38,0.37,0.35,0.57,0.56,0.2,0.59,0.41,0.6,0.59,0.43,0.61,0.42,0.81,0,0,0.51,0.61,0.5,0.89,0,0,stand
0.48,0.07,0.48,0.22,0.4,0.22,0.39,0.39,0.37,0.57,0.54,0.22,0.56,0.39,0.57,0.54,0.43,0.57,0.43,0.81,0.44,0.89,0.5,0.59,0.5,0.87,0,0,stand
0.45,0.11,0.45,0.24,0.39,0.26,0.38,0.41,0.38,0.57,0.51,0.24,0.54,0.41,0.55,0.54,0.43,0.59,0.43,0.76,0.44,0.91,0.5,0.59,0.49,0.81,0,0,stand
0.44,0.09,0.45,0.24,0.39,0.26,0.39,0.41,0.38,0.57,0.51,0.24,0.54,0.39,0.55,0.52,0.44,0.57,0.44,0.76,0.44,0.91,0.5,0.54,0.5,0.76,0.49,0.96,stand
0.45,0.09,0.46,0.24,0.4,0.24,0.39,0.39,0.39,0.54,0.51,0.22,0.54,0.37,0.55,0.52,0.44,0.52,0.45,0.72,0.44,0.91,0.51,0.52,0.51,0.72,0.51,0.89,stand
0.48,0.11,0.48,0.24,0.42,0.24,0.42,0.39,0.4,0.52,0.52,0.24,0.55,0.37,0.55,0.52,0.45,0.52,0.45,0.74,0.44,0.94,0.51,0.52,0.52,0.7,0.52,0.83,stand
0.5,0.13,0.49,0.26,0.45,0.26,0.43,0.39,0.42,0.52,0.54,0.24,0.55,0.39,0.55,0.52,0.46,0.52,0.46,0.72,0.44,0.91,0.52,0.52,0.52,0.67,0.54,0.83,stand
0.51,0.15,0.51,0.26,0.46,0.26,0.45,0.41,0.44,0.54,0.56,0.26,0.57,0.41,0.55,0.52,0.48,0.52,0.48,0.7,0.45,0.89,0.54,0.52,0.54,0.67,0.54,0.83,stand
0.52,0.15,0.52,0.26,0.48,0.26,0.46,0.39,0.45,0.52,0.57,0.26,0.59,0.39,0.57,0.5,0.49,0.52,0.48,0.7,0.46,0.85,0.55,0.52,0.54,0.7,0.54,0.83,stand
0.54,0.15,0.54,0.26,0.49,0.26,0.48,0.39,0.46,0.52,0.59,0.26,0.6,0.39,0.61,0.5,0.5,0.5,0.49,0.67,0.48,0.83,0.55,0.52,0.54,0.67,0.54,0.83,stand
0.54,0.15,0.54,0.26,0.49,0.26,0.48,0.39,0.46,0.5,0.57,0.26,0.6,0.39,0.62,0.5,0.5,0.52,0.49,0.7,0.49,0.85,0.55,0.52,0.54,0.7,0.54,0.83,stand
0.54,0.15,0.52,0.26,0.49,0.26,0.48,0.39,0.46,0.52,0.57,0.26,0.6,0.39,0.61,0.48,0.5,0.52,0.49,0.7,0.49,0.85,0.55,0.52,0.54,0.7,0.54,0.83,stand
0.52,0.15,0.52,0.26,0.48,0.26,0.46,0.39,0.46,0.52,0.57,0.26,0.59,0.39,0.59,0.5,0.49,0.52,0.49,0.7,0.49,0.85,0.55,0.52,0.55,0.7,0.54,0.83,stand
0.51,0.15,0.51,0.26,0.46,0.26,0.45,0.39,0.45,0.52,0.56,0.26,0.56,0.39,0.56,0.52,0.49,0.52,0.49,0.7,0.49,0.85,0.54,0.52,0.55,0.67,0.54,0.83,stand
0.5,0.15,0.5,0.26,0.46,0.26,0.45,0.41,0.45,0.52,0.55,0.26,0.56,0.37,0.56,0.5,0.49,0.52,0.49,0.7,0.49,0.85,0.54,0.52,0.56,0.67,0.55,0.81,stand
0.5,0.15,0.5,0.26,0.45,0.26,0.45,0.41,0.45,0.52,0.55,0.26,0.56,0.39,0.56,0.5,0.49,0.52,0.49,0.7,0.49,0.85,0.54,0.5,0.56,0.67,0.55,0.83,stand
